Youtube Channel,Subscribers,Video Views,Video Count,Category,Started
T-Series,"234,000,000","212,900,271,553","18,515",Music,2006
YouTube Movies,"161,000,000",0,0,Film & Animation,2015
Cocomelon - Nursery Rhymes,"152,000,000","149,084,178,448",846,Education,2006
SET India,"150,000,000","137,828,094,104","103,200",Shows,2006
MrBeast,"128,000,000","21,549,128,785",733,Entertainment,2012
Music,"118,000,000",0,0,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2013
PewDiePie,"111,000,000","28,851,883,250","4,694",Gaming,2010
✿ Kids Diana Show,"106,000,000","86,638,570,921","1,056",People & Blogs,2015
Like Nastya,"104,000,000","87,202,935,675",754,People & Blogs,2016
Gaming,"93,300,000",0,0,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2013
WWE,"92,800,000","73,577,695,222","66,174",Sports,2007
Vlad and Niki,"92,700,000","72,444,118,381",520,Entertainment,2018
Zee Music Company,"91,600,000","53,352,597,784","7,530",Music,2014
BLACKPINK,"83,900,000","28,723,286,185",468,People & Blogs,2016
Goldmines,"81,200,000","21,296,568,609","5,090",Film & Animation,2012
5-Minute Crafts,"78,500,000","24,983,430,208","5,937",Howto & Style,2016
Sony SAB,"76,400,000","91,117,292,875","63,390",Shows,2007
Sports,"75,100,000",0,0,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2013
BANGTANTV,"73,100,000","19,240,057,894","2,090",Music,2012
Justin Bieber,"70,800,000","29,598,652,357",249,Music,2007
HYBE LABELS,"69,600,000","25,947,702,825","1,070",Music,2008
Canal KondZilla,"66,300,000","37,179,407,050","2,383",Music,2012
Zee TV,"65,400,000","31,291,572,708","80,178",Entertainment,2005
Pinkfong Baby Shark - Kids' Songs & Stories,"64,600,000","35,934,421,688","2,599",Education,2011
Shemaroo Filmi Gaane,"63,500,000","29,992,048,346","8,464",Music,2010
ChuChu TV Nursery Rhymes & Kids Songs,"61,100,000","41,904,239,949",531,Education,2013
Colors TV,"59,300,000","57,825,649,653","102,403",Shows,2008
Dude Perfect,"58,600,000","15,294,226,020",364,Sports,2009
Movieclips,"58,500,000","59,493,925,856","39,921",Film & Animation,2006
T-Series Bhakti Sagar,"57,300,000","27,004,807,684","24,900",Music,2011
Tips Official,"56,300,000","30,741,513,673","4,102",Music,2007
Marshmello,"56,100,000","14,014,958,483",405,Entertainment,2015
Wave Music,"55,700,000","38,819,471,815","18,970",Music,2014
Sony Music India,"55,400,000","27,179,277,627","3,380",Music,2009
Aaj Tak,"55,300,000","22,725,789,132","233,730",News & Politics,2009
EminemMusic,"55,000,000","25,334,375,101",140,Music,2007
El Reino Infantil,"55,000,000","53,458,257,145","1,410",Music,2011
Ed Sheeran,"52,800,000","29,004,663,326",258,Music,2006
LooLoo Kids - Nursery Rhymes and Children's Songs,"52,300,000","30,857,986,532",607,Music,2014
Ariana Grande,"52,200,000","23,058,776,245",146,Music,2007
YRF,"51,000,000","32,068,851,747","3,475",Film & Animation,2006
Taylor Swift,"50,700,000","27,714,189,976",204,Music,2006
BillionSurpriseToys - English Kids Songs & Cartoon,"49,700,000","8,662,901,485",637,Education,2013
Infobells - Hindi,"48,400,000","27,621,598,218",514,Education,2014
Billie Eilish,"47,300,000","12,810,775,364",51,Music,2013
JuegaGerman,"47,000,000","14,143,277,535","2,017",Gaming,2013
Badabun,"46,300,000","19,053,487,396","16,726",Entertainment,2014
Fernanfloo,"45,600,000","10,146,422,791",542,Gaming,2011
Bad Bunny,"45,100,000","28,114,460,507",127,Music,2014
Felipe Neto,"44,800,000","16,043,230,315","3,977",Entertainment,2006
SonyMusicIndiaVEVO,"44,800,000","25,915,043,211","3,366",Music,2009
BRIGHT SIDE,"44,300,000","10,430,931,571","5,173",Howto & Style,2017
Get Movies,"44,200,000","29,251,998,725","3,160",Entertainment,2006
Você Sabia?,"44,100,000","7,597,909,400","1,444",Entertainment,2013
whinderssonnunes,"44,000,000","4,179,250,874",524,Comedy,2013
Shemaroo,"44,000,000","22,419,193,201","10,697",Entertainment,2007
A4,"43,900,000","19,946,220,349",709,Gaming,2014
Katy Perry,"43,800,000","24,676,643,547",120,Music,2008
HolaSoyGerman.,"43,400,000","4,782,790,153",136,Entertainment,2011
Alan Walker,"42,800,000","12,266,013,874",364,Music,2012
Voot Kids,"42,300,000","19,620,244,169","3,923",Entertainment,2016
Like Nastya Show,"42,100,000","19,124,111,758",606,Entertainment,2017
ABS-CBN Entertainment,"42,100,000","48,815,821,642","185,775",People & Blogs,2008
Speed Records,"41,800,000","25,752,372,644","10,608",Music,2012
Rihanna,"40,900,000","21,169,959,746",82,Entertainment,2005
Маша и Медведь,"40,900,000","34,577,807,066","1,281",Film & Animation,2011
Little Baby Bum - Nursery Rhymes & Kids Songs,"40,600,000","38,573,516,896","2,245",Education,2011
elrubiusOMG,"40,400,000","7,581,423,100",711,Gaming,2011
Shakira,"40,100,000","25,428,049,775",307,People & Blogs,2005
Luisito Comunica,"39,800,000","8,160,328,364","1,194",Comedy,2012
Ishtar Music,"39,500,000","16,198,667,693","4,582",Trailers,2005
Kimberly Loaiza,"39,500,000","4,939,734,902",250,People & Blogs,2016
LUCCAS NETO - LUCCAS TOON,"38,700,000","21,415,852,275","1,985",People & Blogs,2014
ARY Digital HD,"38,600,000","32,383,019,054","88,409",Entertainment,2016
Masha and The Bear,"38,500,000","21,850,302,761","1,035",Shows,2014
XXXTENTACION,"38,400,000","10,134,205,288",129,Music,2015
GR6 EXPLODE,"38,400,000","24,701,070,352","4,134",Music,2014
Toys and Colors,"38,400,000","44,190,624,959",905,Entertainment,2016
TheEllenShow,"38,300,000","22,535,632,362","14,993",Entertainment,2006
WorkpointOfficial,"38,100,000","36,234,268,240","69,696",Entertainment,2012
One Direction,"37,800,000","13,125,170,526",157,Music,2010
CarryMinati,"37,600,000","3,110,725,449",180,Comedy,2014
Daddy Yankee,"37,500,000","21,667,615,457",471,Music,2011
shfa2 - شفا,"37,400,000","22,249,785,330","1,468",People & Blogs,2017
Super Simple Songs - Kids Songs,"37,400,000","40,905,820,903",647,Education,2006
TEDx Talks,"37,300,000","7,025,367,828","191,506",Nonprofits & Activism,2009
shfa,"37,000,000","20,196,597,873",920,People & Blogs,2015
Jkk Entertainment,"36,700,000","15,892,449,076",207,Comedy,2017
HAR PAL GEO,"36,700,000","32,307,389,493","80,499",Entertainment,2008
Mikecrack,"36,600,000","14,997,302,673","1,811",Gaming,2015
Maroon 5,"36,400,000","21,651,521,761",163,Music,2006
News,"36,300,000",0,0,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2013
Goldmines Gaane Sune Ansune,"36,300,000","15,500,577,270","3,406",Music,2015
Bruno Mars,"36,100,000","18,369,812,498",99,Music,2006
ช่อง one31,"36,000,000","26,380,324,996","104,458",Entertainment,2013
Like Nastya ESP,"35,900,000","17,250,777,103",691,Entertainment,2017
Ozuna,"35,800,000","22,255,148,830",162,Music,2016
Maria Clara & JP,"35,500,000","22,536,784,457",693,People & Blogs,2015
Sony PAL,"35,300,000","25,906,208,404","21,627",Shows,2014
YouTube,"35,200,000","2,980,922,779",620,News & Politics,1970
Ultra Bollywood,"35,200,000","16,071,519,784","9,424",Trailers,2009
ABP NEWS,"35,100,000","11,605,665,353","253,628",People & Blogs,2012
Total Gaming,"34,300,000","5,297,672,072","1,137",Gaming,2018
Markiplier,"34,300,000","19,491,886,710","5,392",Gaming,2012
Ryan's World,"34,200,000","53,646,314,889","2,294",Entertainment,2015
J Balvin,"33,900,000","22,257,560,882",134,Music,2011
Vlad và Niki,"33,900,000","21,008,932,630",457,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2018
Geet MP3,"33,700,000","12,205,382,034",614,Music,2016
Desi Music Factory,"33,600,000","9,909,079,287",129,Music,2014
IndiaTV,"33,600,000","14,728,724,777","254,217",News & Politics,2006
T-Series Apna Punjab,"33,600,000","20,004,653,117","7,169",Music,2011
La Granja de Zenón,"33,600,000","24,784,972,963",604,Music,2013
VEGETTA777,"33,600,000","15,182,606,203","7,322",Gaming,2008
SSSniperWolf,"33,200,000","22,265,406,473","3,200",Gaming,2013
NoCopyrightSounds,"33,100,000","10,843,342,435","1,205",Music,2011
KHANDESHI MOVIES,"33,000,000","11,114,815,843",203,Comedy,2013
Bollywood Classics,"32,800,000","20,441,345,965","1,959",Music,2012
PowerKids TV,"32,800,000","16,678,003,928","3,818",Film & Animation,2014
Ch3Thailand,"32,500,000","20,928,776,913","73,637",Entertainment,2014
Galinha Pintadinha,"32,300,000","24,453,480,427",65,Film & Animation,2006
Selena Gomez,"32,200,000","12,212,768,270",188,Film & Animation,2008
Eros Now Music,"32,000,000","17,279,122,597","9,863",Entertainment,2007
Saregama Music,"32,000,000","13,568,878,190","6,652",Entertainment,2013
Rajshri,"31,900,000","13,965,458,068","3,761",Music,2006
GENIAL,"31,700,000","6,578,128,540","5,957",Howto & Style,2017
CVS 3D Rhymes & Kids Songs,"31,700,000","19,319,626,738",338,Education,2008
JustinBieberVEVO,"31,700,000","25,955,745,056",204,Music,2009
Mr Bean,"31,500,000","10,219,405,165","2,847",Shows,2006
rezendeevil,"31,500,000","12,837,585,247","11,757",Gaming,2012
SMTOWN,"31,400,000","26,267,502,068","4,059",Music,2006
DisneyMusicVEVO,"31,400,000","26,620,144,607","1,922",Music,2010
BabyBus - Kids Songs and Cartoons,"31,300,000","25,291,836,510","1,953",Education,2016
Dream,"31,300,000","2,836,785,859",112,Gaming,2014
Techno Gamerz,"31,200,000","8,412,805,750",896,Gaming,2017
Luis Fonsi,"31,200,000","14,805,801,427",137,Entertainment,2014
Genevieve's Playhouse - Learning Videos for Kids,"31,100,000","22,122,295,687",590,Education,2016
Ricis Official,"30,800,000","5,641,597,942","2,335",People & Blogs,2016
MrBeast Gaming,"30,800,000","5,426,458,352",138,Gaming,2020
The Weeknd,"30,800,000","21,097,791,955",130,Music,2011
Jingle Toons,"30,700,000","10,348,265,538",233,Film & Animation,2013
The Tonight Show Starring Jimmy Fallon,"30,600,000","16,697,658,353","8,467",Comedy,2006
Trap Nation,"30,500,000","13,769,164,702","2,601",Music,2012
Worldwide Records Bhojpuri,"30,300,000","15,543,812,678","6,208",Music,2012
AH,"30,100,000","4,140,958,197","1,981",Entertainment,2014
Peppa Pig - Official Channel,"30,000,000","21,914,217,722","2,575",Film & Animation,2013
Boram Tube Vlog [보람튜브 브이로그],"29,900,000","13,320,447,980",223,Entertainment,2012
Wow Kidz,"29,900,000","15,906,054,081","3,825",Film & Animation,2015
Spinnin' Records,"29,900,000","20,651,821,146","11,048",Music,2007
ImagineDragons,"29,800,000","15,573,184,914",87,Music,2009
MR. INDIAN HACKER,"29,800,000","5,170,819,584",874,Science & Technology,2012
Shawn Mendes,"29,800,000","12,272,383,543",132,Music,2011
DONA 도나,"29,700,000","19,514,803,427",163,Entertainment,2018
GMANetwork,"29,600,000","27,835,242,571","125,735",Entertainment,2006
Adele,"29,500,000","13,365,050,446",15,Music,2008
Popular on YouTube,"29,300,000",0,0,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2013
قناة طيور الجنة | toyoraljanahtv,"29,200,000","26,743,403,629","3,175",Entertainment,2008
AuronPlay,"29,200,000","4,021,381,165",404,Comedy,2006
Little Angel: Nursery Rhymes & Kids Songs,"29,200,000","21,402,553,443","1,213",Education,2015
Talking Tom,"29,100,000","14,517,628,994",469,Comedy,2010
Ultra Records,"29,100,000","16,694,586,833","4,750",Music,2006
Maluma,"29,000,000","20,398,752,778",21,Music,2018
Round2hell,"29,000,000","2,955,667,345",66,Comedy,2016
ashish chanchlani vines,"29,000,000","4,207,027,768",147,Comedy,2009
jacksepticeye,"29,000,000","15,857,360,480","5,046",Gaming,2007
KAROL G,"28,900,000","15,671,695,419",124,Music,2013
Zee News,"28,700,000","14,547,067,456","160,005",News & Politics,2007
व्लाद और निकिता,"28,700,000","17,107,973,877",478,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2018
Lucas and Marcus,"28,600,000","9,575,572,393","1,076",Entertainment,2011
TheDonato,"28,400,000","5,588,992,559","2,755",Entertainment,2015
The Late Late Show with James Corden,"28,000,000","10,200,658,256","5,695",Entertainment,2006
AboFlah,"27,700,000","3,963,824,628",593,Gaming,2016
infobells - Tamil,"27,600,000","17,027,319,292",495,Education,2014
Drake,"27,500,000","14,112,271,569",59,Music,2009
Aditya Music,"27,400,000","24,229,379,040","20,757",Music,2008
Bounce Patrol - Kids Songs,"27,300,000","19,996,346,479",229,Music,2013
Michael Jackson,"27,100,000","13,475,088,420",15,Music,2005
Wiz Khalifa,"27,000,000","12,956,392,794",623,Music,2008
Sandeep Maheshwari,"26,900,000","2,166,469,190",562,People & Blogs,2012
infobells - Telugu,"26,900,000","13,913,156,831",449,Education,2014
A.O.D,"26,900,000","15,715,787,972","2,474",Entertainment,2014
enchufetv,"26,600,000","10,223,966,037","1,056",Comedy,2011
toycantando,"26,500,000","14,667,362,261",531,Music,2009
Aditya Movies,"26,400,000","8,932,231,692","4,719",Movies,2012
JYP Entertainment,"26,300,000","18,505,316,594","1,599",Music,2008
DanTDM,"26,300,000","18,960,251,968","3,638",Gaming,2012
Nick Jr.,"26,300,000","21,511,413,683","5,079",Film & Animation,2012
Goldmines Dishoom,"26,300,000","7,870,463,275","3,364",Film & Animation,2016
WORLDSTARHIPHOP,"26,200,000","19,899,129,709","6,708",Music,2008
Renato Garcia YT,"26,200,000","7,380,286,067","3,625",Entertainment,2011
Jess No Limit,"25,900,000","3,225,286,925","2,009",Entertainment,2017
Masha y el Oso,"25,900,000","12,088,612,689",936,Film & Animation,2016
BB Ki Vines,"25,800,000","4,551,592,957",188,Entertainment,2015
VanossGaming,"25,800,000","15,227,182,993","1,668",Gaming,2011
1MILLION Dance Studio,"25,800,000","7,639,482,143","4,876",Entertainment,2015
Netflix,"25,700,000","6,483,549,335","6,144",Entertainment,2012
Shemaroo Movies,"25,700,000","6,694,749,616","2,666",Entertainment,2011
TaylorSwiftVEVO,"25,700,000","24,334,160,208",261,Music,2009
LosPolinesios,"25,600,000","7,284,096,508",941,People & Blogs,2012
Crazy XYZ,"25,500,000","6,909,579,235","1,183",Entertainment,2017
Raffy Tulfo in Action,"25,500,000","14,090,642,521","9,363",News & Politics,2016
Beyoncé,"25,500,000","16,545,952,051",234,Music,2005
Marília Mendonça,"25,500,000","17,583,869,743",120,Music,2013
Enaldinho,"25,500,000","9,600,028,596","3,275",Comedy,2012
RihannaVEVO,"25,200,000","18,711,981,509",118,Music,2009
StarPlus,"25,200,000","18,007,460,762","26,205",Entertainment,2006
Nicki Minaj,"25,100,000","9,814,393,443",39,Music,2013
Las Ratitas,"25,000,000","9,416,242,649",221,People & Blogs,2015
Smosh,"25,000,000","10,274,551,358","1,459",Comedy,2005
David Guetta,"25,000,000","16,789,646,111",702,Music,2009
HUM TV,"24,900,000","20,138,982,531","85,520",Entertainment,2011
WatchMojo.com,"24,900,000","16,036,594,903","23,571",Music,2007
ZHC,"24,900,000","2,432,186,480",305,Film & Animation,2013
Yuya,"24,900,000","2,586,211,373",672,Howto & Style,2009
EminemVEVO,"24,800,000","19,618,787,988",104,Music,2009
Post Malone,"24,800,000","13,400,799,639",64,Music,2011
KatyPerryVEVO,"24,700,000","23,193,121,362",173,Music,2009
Rans Entertainment,"24,700,000","6,067,761,738","3,371",People & Blogs,2015
Chris Brown,"24,500,000","14,634,573,956",23,Music,2006
Brent Rivera,"24,500,000","5,659,381,804",516,Comedy,2009
Super JoJo - Nursery Rhymes & Kids Songs,"24,400,000","1,459,730",8,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2019
D Billions,"24,400,000","27,800,456,761",590,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2019
Coldplay,"24,400,000","16,151,404,605",364,Music,2010
Goldmines Bollywood,"24,400,000","7,881,575,502","3,097",Film & Animation,2015
1theK (원더케이),"24,400,000","23,263,234,592","17,735",Music,2011
TRANS7 OFFICIAL,"24,300,000","13,336,947,331","83,527",Entertainment,2014
Chloe Ting,"24,300,000","2,855,477,471",386,Howto & Style,2011
Amit Bhadana,"24,300,000","2,318,923,728",97,Entertainment,2012
★ Kids Roma Show,"24,100,000","8,539,357,204",613,People & Blogs,2015
Collins Key,"24,000,000","6,514,271,600",254,Entertainment,2011
KSI,"24,000,000","5,957,939,168","1,248",Entertainment,2009
DJ Snake,"23,900,000","8,039,306,948",217,Music,2008
ABPLIVE,"23,900,000","7,231,058,050","162,144",People & Blogs,2017
Ninja,"23,800,000","2,487,798,349","1,525",Gaming,2011
The Lallantop,"23,800,000","9,069,403,398","44,355",News & Politics,2015
James Charles,"23,800,000","3,801,089,461",444,Entertainment,2015
WB Kids,"23,700,000","10,175,012,401","1,871",People & Blogs,2015
Anuel AA,"23,600,000","13,022,229,032",135,Music,2016
Logan Paul,"23,600,000","5,941,251,199",714,Entertainment,2015
netd müzik,"23,500,000","53,386,751,228","21,930",Music,2014
Frost Diamond,"23,500,000","5,920,064,550","2,421",Gaming,2014
Like Nastya AE,"23,400,000","11,843,614,429",636,Entertainment,2018
Enrique Iglesias,"23,400,000","16,999,907,105",434,Music,2007
Happy Lives,"23,400,000","10,103,932,216",550,Science & Technology,2016
MrBeast en Español,"23,400,000","2,959,484,997",87,Entertainment,2021
NickyJamTV,"23,400,000","15,433,153,908",358,Music,2012
Mister Max,"23,400,000","15,188,885,182","1,072",People & Blogs,2014
Troom Troom,"23,400,000","10,001,222,206","2,120",Howto & Style,2015
Mark Rober,"23,300,000","3,214,411,985",108,Science & Technology,2011
Erlania e Valentina Pontes,"23,200,000","7,740,625,371","1,234",Film & Animation,2014
Miss Katy,"23,200,000","14,256,869,917","1,016",People & Blogs,2014
Jelly,"23,200,000","14,485,790,472","5,861",Gaming,2014
Indosiar,"23,100,000","11,795,485,473","64,565",Music,2013
America's Got Talent,"23,100,000","4,634,400,513","2,960",Entertainment,2006
Sesame Street,"23,100,000","21,710,473,619","3,542",Entertainment,2006
Diana and Roma ARA,"23,000,000","10,504,290,129",544,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2019
Venus Movies,"22,900,000","6,648,113,808","2,499",Entertainment,2010
YOLO AVENTURAS,"22,800,000","6,140,529,899","1,225",People & Blogs,2018
Pen Movies,"22,800,000","6,123,652,788","1,646",Film & Animation,2014
Technical Guruji,"22,800,000","3,240,574,005","4,812",Science & Technology,2015
Goldmines Movies,"22,800,000","5,166,413,550","4,432",Film & Animation,2013
Peppa Pig Español Latino - Canal Oficial,"22,700,000","7,495,214,886","1,118",Film & Animation,2014
FaZe Rug,"22,700,000","6,749,344,707","2,077",Gaming,2012
DrossRotzank,"22,700,000","5,868,977,921","1,545",Entertainment,2006
Zhong,"22,700,000","13,648,354,447","1,283",Entertainment,2015
Lady Gaga,"22,600,000","14,745,436,214",172,People & Blogs,2008
GMM GRAMMY OFFICIAL,"22,600,000","24,839,063,221","14,488",Music,2010
Preston,"22,600,000","7,505,683,763","3,927",Gaming,2012
LankyBox,"22,600,000","30,317,640,439","6,984",Comedy,2016
White Hill Music,"22,400,000","10,303,170,016","5,300",Entertainment,2014
The Chainsmokers,"22,400,000","13,744,471,188",160,Music,2012
Smile Family,"22,400,000","8,499,075,726",451,People & Blogs,2018
TED,"22,400,000","2,457,759,405","4,181",People & Blogs,2006
Juan De Dios Pantoja,"22,400,000","1,835,511,828",196,Entertainment,2014
mmoshaya,"22,300,000","16,972,853,327","1,164",People & Blogs,2010
Wave Music Bhojpuri,"22,300,000","12,530,155,484","21,963",Music,2014
Paulo Londra,"22,200,000","7,577,333,000",58,Music,2016
Sia,"22,200,000","12,789,115,698",168,Music,2007
BabyBus - Canciones Infantiles & Videos para Niños,"22,100,000","12,546,008,350","1,087",Education,2018
Diana and Roma EN,"22,100,000","6,044,449,696",464,People & Blogs,2011
OneDirectionVEVO,"21,900,000","11,830,132,973",266,Music,2010
Like Nastya PRT,"21,900,000","10,979,800,678",589,Entertainment,2019
SSundee,"21,700,000","12,843,659,340","3,194",Gaming,2009
Charlie Puth,"21,600,000","9,279,930,391",146,Music,2009
Ultra Movie Parlour,"21,600,000","5,274,337,335","1,475",Movies,2011
Goldmines Cineplex,"21,500,000","2,098,934,903","2,932",Film & Animation,2015
FGTeeV,"21,500,000","23,294,730,097","1,661",Gaming,2013
Maya and Mary,"21,400,000","6,488,980,036",546,Entertainment,2013
Dua Lipa,"21,400,000","10,584,082,649",164,Music,2011
Dushyant kukreja,"21,400,000","14,105,493,980",735,Entertainment,2015
Beast Reacts,"21,300,000","3,212,940,190",230,People & Blogs,2016
Alan Becker,"21,200,000","4,743,371,214",135,Film & Animation,2006
Kids TV - Nursery Rhymes And Baby Songs,"21,200,000","12,481,540,293","3,608",Shows,2013
NichLmao,"21,100,000","11,361,253,531",720,People & Blogs,2018
nigahiga,"21,100,000","4,370,083,736",403,Entertainment,2006
Vlad and Niki Arabic,"21,100,000","9,910,020,745",471,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2018
National Geographic,"21,100,000","5,429,440,644","10,013",Science & Technology,2006
Disney Latinoamérica,"21,000,000","19,851,368,612","7,956",Entertainment,2007
Tasty,"21,000,000","5,614,408,524","4,461",Howto & Style,2016
toyorbabytv,"21,000,000","14,935,005,348","1,092",Music,2012
Rotana,"20,900,000","17,847,780,290","8,240",Music,2012
Becky G,"20,800,000","10,028,384,275",73,Music,2011
5-Minute Crafts DIY,"20,800,000","4,997,658,141","4,478",Howto & Style,2018
Baim Paula,"20,800,000","4,345,134,335","2,065",People & Blogs,2016
Sun TV,"20,700,000","17,384,448,140","45,220",People & Blogs,2016
Kinder Spielzeug Kanal,"20,700,000","10,240,499,274",842,Entertainment,2015
Canal Canalha,"20,700,000","1,858,850,667",298,Comedy,2011
Tlnovelas,"20,600,000","13,931,461,109","34,189",News & Politics,2013
Netflix India,"20,600,000","6,630,097,487","3,126",People & Blogs,2016
Tekashi 6ix9ine,"20,600,000","5,505,799,443",25,People & Blogs,2018
Brave Wilderness,"20,600,000","4,798,091,763",966,Pets & Animals,2014
Vania Mania Kids,"20,500,000","8,599,968,109",906,People & Blogs,2015
Family GamesTV,"20,400,000","7,157,996,223",301,Entertainment,2016
Lyrical Lemonade,"20,400,000","10,103,545,946",413,Entertainment,2013
Dr. Vivek Bindra: Motivational Speaker,"20,400,000","1,597,414,298",782,Education,2013
Avicii,"20,400,000","9,857,717,474",149,Music,2009
Junya.じゅんや,"20,300,000","12,067,861,694","4,001",Entertainment,2020
GMA Public Affairs,"20,300,000","12,775,779,195","41,546",Entertainment,2009
BETER BÖCÜK,"20,300,000","11,558,534,734","1,772",https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2012
Eva Bravo Play,"20,300,000","8,634,660,945",202,Entertainment,2019
LazarBeam,"20,300,000","8,589,202,733","1,318",Gaming,2015
Jake Paul,"20,300,000","7,265,786,652",950,People & Blogs,2013
BuzzFeedVideo,"20,200,000","17,844,881,541","7,477",People & Blogs,2011
Romeo Santos,"20,200,000","16,053,917,113",53,Music,2005
Alejo Igoa,"20,200,000","8,466,520,358",754,Comedy,2014
invictor,"20,200,000","7,815,657,879","2,177",Gaming,2013
SlivkiShow,"20,200,000","4,530,671,605",446,Entertainment,2012
Totoy kids - Português,"20,200,000","4,196,825,167",240,Film & Animation,2014
5-Minute Crafts PLAY,"20,100,000","5,916,449,403","4,934",Howto & Style,2017
AuthenticGames,"20,100,000","8,887,964,445","4,799",Gaming,2011
Gulshan Kalra,"20,100,000","9,709,536,467",457,Howto & Style,2018
Mnet K-POP,"20,100,000","13,922,559,602","30,622",Entertainment,2006
mujjuu___14,"20,000,000","12,720,012,557",730,People & Blogs,2020
Pencilmation,"20,000,000","11,094,654,170","1,303",Film & Animation,2007
Skrillex,"20,000,000","6,438,877,934",191,Music,2010
Pentatonix,"20,000,000","5,939,617,823",253,Music,2011
Marvel Entertainment,"20,000,000","5,423,946,266","8,257",Entertainment,2005
Infinite,"20,000,000","4,721,367,276","1,563",Entertainment,2014
Vevo,"20,000,000","554,309,174","1,539",Music,2006
REACT,"20,000,000","13,034,733,249","4,042",Entertainment,2007
HaerteTest,"19,900,000","3,184,409,704","1,299",Science & Technology,2011
Kurzgesagt – In a Nutshell,"19,900,000","2,202,583,880",171,Education,2013
Got Talent Global,"19,900,000","3,575,349,122","2,020",Entertainment,2013
Fatos Desconhecidos,"19,900,000","3,492,581,724","5,703",Entertainment,2013
Khan GS Research Centre,"19,800,000","1,894,638,004",353,Education,2019
Noor Stars,"19,800,000","2,638,222,649",654,Comedy,2014
Dan Rhodes,"19,800,000","14,121,021,396","1,541",Entertainment,2015
Tilak,"19,800,000","7,980,058,405","4,929",Film & Animation,2020
The Royalty Family,"19,800,000","5,365,814,568",681,People & Blogs,2017
Deddy Corbuzier,"19,800,000","4,479,493,326","1,229",Entertainment,2009
JennaMarbles,"19,800,000","1,784,776,380",250,Comedy,2010
Linkin Park,"19,700,000","12,435,259,143",593,Music,2006
Gusttavo Lima Oficial,"19,700,000","12,914,685,124",349,Music,2010
NBA,"19,700,000","11,509,656,903","44,327",Sports,2005
Ninja Kidz TV,"19,700,000","10,043,931,480",279,Entertainment,2017
Robin Hood Gamer,"19,700,000","9,955,629,684","3,889",Entertainment,2014
Gordon Ramsay,"19,700,000","3,746,499,230","1,393",Entertainment,2006
Daniel LaBelle,"19,600,000","10,335,248,598",259,Comedy,2009
Minecraft - Topic,"19,500,000",0,0,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2013
Village Cooking Channel,"19,500,000","5,091,483,300",219,Howto & Style,2018
BabyBus - Cerita & Lagu Anak-anak,"19,400,000","11,153,601,710",744,Education,2019
Troom Troom Es,"19,400,000","7,282,536,298","2,715",People & Blogs,2016
shane,"19,400,000","4,299,052,383",569,People & Blogs,2005
Green Gold TV - Official Channel,"19,300,000","9,348,596,042","1,159",Film & Animation,2011
Clash of Clans,"19,300,000","3,776,148,455",621,Gaming,2013
AS Gaming,"19,300,000","2,709,808,489","1,149",Gaming,2016
JukiLop,"19,300,000","1,561,914,983",85,People & Blogs,2017
Sourav Joshi Vlogs,"19,200,000","7,641,524,111","1,205",People & Blogs,2019
Rafa & Luiz,"19,200,000","7,026,825,607","2,519",Entertainment,2015
DLS News,"19,200,000","2,103,047,927","4,182",News & Politics,2017
TRT Originals Urdu,"19,200,000","8,094,731,450",881,Entertainment,2020
CookieSwirlC,"19,100,000","22,112,969,982","3,660",Entertainment,2013
हिंदी - Genevieve's Playhouse,"19,100,000","10,298,145,297",100,Education,2018
